"","Year","Wealth_Gini","Wealth_Share_bottom50","Wealth_Share_top10","Wealth_Share_top1","Country"
"1304",2010,0.764626507690423,0.0396,0.628,0.3175,"EGY"
"1305",2011,0.770982285426385,0.0386,0.6384,0.335,"EGY"
"1306",2012,0.768742105349475,0.0387,0.6345,0.3252,"EGY"
"1307",2013,0.770660288767317,0.038,0.6371,0.3281,"EGY"
"1308",2014,0.774557308766362,0.0376,0.644,0.337,"EGY"
"1309",2015,0.780009638571073,0.0358,0.6514,0.3444,"EGY"
"1310",2016,0.774113374168337,0.0372,0.6421,0.3273,"EGY"
"1311",2017,0.777672341924131,0.0362,0.6475,0.3373,"EGY"
"1312",2018,0.775218083401228,0.0372,0.6442,0.3311,"EGY"
"1313",2019,0.771970464423873,0.0373,0.6384,0.3198,"EGY"
"1314",2020,0.77128745162139,0.0374,0.6374,0.318,"EGY"
"1315",2021,0.771413685543735,0.0373,0.6375,0.3181,"EGY"
"1316",2022,0.772119037273058,0.0368,0.6379,0.3183,"EGY"
"1317",1995,0.890122489965989,-0.0027,0.7781,0.4496,"ERI"
"1318",1996,0.849717943720691,0.0116,0.7327,0.4043,"ERI"
"1319",1997,0.782146879242646,0.0331,0.6495,0.3171,"ERI"
"1320",1998,0.747031033337407,0.0424,0.6003,0.2632,"ERI"
"1321",1999,0.735135493331555,0.045,0.5818,0.244,"ERI"
"1322",2000,0.735641664066648,0.045,0.5828,0.2447,"ERI"
"1323",2001,0.736503926494947,0.0447,0.5838,0.2457,"ERI"
"1324",2002,0.736956314370261,0.0445,0.5845,0.2464,"ERI"
"1325",2003,0.737136997842015,0.0445,0.5848,0.247,"ERI"
"1326",2004,0.737381704853021,0.0444,0.5851,0.2473,"ERI"
"1327",2005,0.736609188861735,0.0447,0.584,0.2459,"ERI"
"1328",2006,0.737535492702293,0.0444,0.5854,0.2476,"ERI"
"1329",2007,0.738782431224223,0.0441,0.5874,0.2496,"ERI"
"1330",2008,0.739616739141482,0.0439,0.5887,0.2506,"ERI"
"1331",2009,0.740042481058467,0.0438,0.5891,0.2515,"ERI"
"1332",2010,0.741076651721386,0.0435,0.5908,0.2531,"ERI"
"1333",2011,0.741609662000812,0.0435,0.5918,0.254,"ERI"
"1334",2012,0.74178642091448,0.0434,0.5921,0.2543,"ERI"
"1335",2013,0.742703276900272,0.0433,0.5937,0.256,"ERI"
"1336",2014,0.743308303286881,0.0432,0.5945,0.2568,"ERI"
"1337",2015,0.743851394972751,0.043,0.5953,0.2577,"ERI"
"1338",2016,0.743689927573797,0.0431,0.5951,0.2575,"ERI"
"1339",2017,0.743689927573797,0.0431,0.5951,0.2575,"ERI"
"1340",2018,0.743689927573797,0.0431,0.5951,0.2575,"ERI"
"1341",2019,0.743851394972751,0.043,0.5953,0.2577,"ERI"
"1342",2020,0.743851394972751,0.043,0.5953,0.2577,"ERI"
"1343",2021,0.743877014441495,0.043,0.5953,0.2578,"ERI"
"1344",2022,0.744441395333581,0.0426,0.5956,0.2579,"ERI"
"1345",1995,0.703698947444174,0.0672,0.5826,0.203,"ESP"
"1346",1996,0.694467699310024,0.0728,0.5734,0.2229,"ESP"
"1347",1997,0.694610896385342,0.0766,0.5801,0.2376,"ESP"
"1348",1998,0.697823953409184,0.0774,0.5858,0.2578,"ESP"
"1349",1999,0.710137899083165,0.0675,0.586,0.2532,"ESP"
"1350",2000,0.697416655929572,0.0735,0.5724,0.2448,"ESP"
"1351",2001,0.681562320016667,0.0798,0.5519,0.219,"ESP"
"1352",2002,0.680010881210137,0.0799,0.5506,0.2194,"ESP"
"1353",2003,0.679081238624875,0.0785,0.5476,0.2218,"ESP"
"1354",2004,0.667483608947492,0.0826,0.5323,0.2092,"ESP"
"1355",2005,0.663380017217946,0.0827,0.5245,0.2075,"ESP"
"1356",2006,0.669793907934967,0.0807,0.5332,0.214,"ESP"
"1357",2007,0.689407457149798,0.0718,0.5548,0.2265,"ESP"
"1358",2008,0.679180233044271,0.0747,0.5411,0.206,"ESP"
"1359",2009,0.694485052073489,0.0677,0.5577,0.2148,"ESP"
"1360",2010,0.688420223809871,0.0708,0.5544,0.2141,"ESP"
"1361",2011,0.693470359532313,0.069,0.5586,0.2192,"ESP"
"1362",2012,0.703624875922685,0.0618,0.5636,0.2202,"ESP"
"1363",2013,0.706972834260966,0.0592,0.5625,0.2156,"ESP"
"1364",2014,0.714701797707932,0.0578,0.5764,0.2313,"ESP"
"1365",2015,0.70559941263889,0.0635,0.5688,0.2306,"ESP"
"1366",2016,0.70535698251166,0.0635,0.5684,0.2302,"ESP"
"1367",2017,0.705244677130338,0.0635,0.5682,0.2301,"ESP"
"1368",2018,0.704644220198574,0.0637,0.5672,0.2291,"ESP"
"1369",2019,0.70379419305408,0.0638,0.5659,0.2278,"ESP"
"1370",2020,0.703801701440327,0.0638,0.5659,0.2278,"ESP"
"1371",2021,0.703809225039109,0.0638,0.5659,0.2278,"ESP"
"1372",2022,0.70381675656202,0.0638,0.5659,0.2278,"ESP"
"1373",1995,0.890111553689451,-0.0027,0.7781,0.4495,"ETH"
"1374",1996,0.849765896599763,0.0116,0.7328,0.4044,"ETH"
"1375",1997,0.782228003369426,0.033,0.6496,0.3171,"ETH"
"1376",1998,0.747031033337407,0.0424,0.6003,0.2632,"ETH"
"1377",1999,0.735135493331555,0.045,0.5818,0.244,"ETH"
"1378",2000,0.735654226994725,0.045,0.5828,0.2448,"ETH"
"1379",2001,0.736529188873419,0.0447,0.5838,0.2457,"ETH"
"1380",2002,0.736956314370261,0.0445,0.5845,0.2464,"ETH"
"1381",2003,0.737110738767257,0.0445,0.5848,0.2469,"ETH"
"1382",2004,0.737381704853021,0.0444,0.5851,0.2473,"ETH"
"1383",2005,0.736719889955396,0.0446,0.5841,0.246,"ETH"
"1384",2006,0.73756170245295,0.0444,0.5854,0.2477,"ETH"
"1385",2007,0.738782431224223,0.0441,0.5874,0.2496,"ETH"
"1386",2008,0.739616739141482,0.0439,0.5887,0.2506,"ETH"
"1387",2009,0.740042481058467,0.0438,0.5891,0.2515,"ETH"
"1388",2010,0.74110254241856,0.0435,0.5909,0.2531,"ETH"
"1389",2011,0.741609662000812,0.0435,0.5918,0.254,"ETH"
"1390",2012,0.741683250443216,0.0435,0.592,0.2543,"ETH"
"1391",2013,0.742718120968846,0.0433,0.5937,0.2561,"ETH"
"1392",2014,0.743333951731671,0.0432,0.5945,0.2569,"ETH"
"1393",2015,0.743902590976148,0.043,0.5954,0.2578,"ETH"
"1394",2016,0.74392819260396,0.043,0.5954,0.2579,"ETH"
"1395",2017,0.743806011200974,0.043,0.5952,0.2577,"ETH"
"1396",2018,0.74392819260396,0.043,0.5954,0.2579,"ETH"
"1397",2019,0.74392819260396,0.043,0.5954,0.2579,"ETH"
"1398",2020,0.74392819260396,0.043,0.5954,0.2579,"ETH"
"1399",2021,0.74392819260396,0.043,0.5954,0.2579,"ETH"
"1400",2022,0.74449251109445,0.0426,0.5957,0.258,"ETH"
"1401",1995,0.733105432115412,0.025,0.5293,0.1401,"FIN"
"1402",1996,0.730611694225336,0.0293,0.5368,0.1509,"FIN"
"1403",1997,0.726594740336685,0.034,0.5421,0.1593,"FIN"
"1404",1998,0.737213038230616,0.0311,0.559,0.1724,"FIN"
"1405",1999,0.738529744464533,0.0329,0.567,0.1809,"FIN"
"1406",2000,0.739136091320153,0.0329,0.5697,0.1798,"FIN"
"1407",2001,0.735147474288228,0.0329,0.5612,0.1741,"FIN"
"1408",2002,0.745991997604079,0.025,0.5641,0.1731,"FIN"
"1409",2003,0.755525879677892,0.0194,0.5703,0.176,"FIN"
"1410",2004,0.764361802608078,0.0128,0.5722,0.1765,"FIN"
"1411",2005,0.762527766804154,0.0139,0.5698,0.1815,"FIN"
"1412",2006,0.765074337545574,0.0125,0.5698,0.188,"FIN"
"1413",2007,0.753352247194965,0.0182,0.5588,0.183,"FIN"
"1414",2008,0.741274832747143,0.0202,0.5371,0.167,"FIN"
"1415",2009,0.738871107836864,0.0233,0.5392,0.1775,"FIN"
"1416",2010,0.746773254163294,0.0212,0.5516,0.1853,"FIN"
"1417",2011,0.745171668950142,0.0198,0.5459,0.1745,"FIN"
"1418",2012,0.734747329959959,0.0263,0.5418,0.1729,"FIN"
"1419",2013,0.733485970233666,0.0292,0.548,0.1782,"FIN"
"1420",2014,0.732323181188988,0.03,0.5476,0.1783,"FIN"
"1421",2015,0.73790334486354,0.0262,0.5495,0.1762,"FIN"
"1422",2016,0.747724870315906,0.0197,0.5537,0.1768,"FIN"
"1423",2017,0.753665488639868,0.0167,0.5583,0.1811,"FIN"
"1424",2018,0.753556486837695,0.0168,0.5581,0.1814,"FIN"
"1425",2019,0.752193675509616,0.017,0.5558,0.1781,"FIN"
"1426",2020,0.75201439416287,0.017,0.5555,0.1775,"FIN"
"1427",2021,0.753492191740577,0.0169,0.5581,0.1824,"FIN"
"1428",2022,0.752134135537702,0.017,0.5557,0.1779,"FIN"
"1429",1807,0.854876891024077,0.0253,0.7901,0.4414,"FRA"
"1430",1817,0.883703553958341,0.022,0.848,0.4844,"FRA"
"1431",1827,0.872103185782407,0.0235,0.8246,0.4667,"FRA"
"1432",1837,0.858588784974458,0.0241,0.7992,0.4578,"FRA"
"1433",1847,0.902637375933722,0.0185,0.8673,0.5118,"FRA"
"1434",1857,0.88205806049784,0.0211,0.8302,0.5155,"FRA"
"1435",1867,0.869416218882208,0.0214,0.8094,0.4927,"FRA"
"1436",1877,0.872990032516853,0.0202,0.8258,0.4536,"FRA"
"1437",1887,0.878444955901557,0.02,0.8328,0.4894,"FRA"
"1438",1902,0.890379957175824,0.0156,0.8405,0.5236,"FRA"
"1439",1903,0.893934692728578,0.0155,0.8506,0.5436,"FRA"
"1440",1904,0.899133618913112,0.0146,0.8587,0.5634,"FRA"
"1441",1905,0.899967374670979,0.0145,0.8601,0.569,"FRA"
"1442",1907,0.894146681291588,0.0147,0.8498,0.5441,"FRA"
"1443",1909,0.894371730726633,0.0155,0.8511,0.5538,"FRA"
"1444",1910,0.892509290733244,0.0153,0.8473,0.5403,"FRA"
"1445",1911,0.89600057336159,0.0154,0.8544,0.5542,"FRA"
"1446",1912,0.896177709678142,0.0147,0.8525,0.5531,"FRA"
"1447",1913,0.894053512214811,0.0152,0.849,0.5456,"FRA"
"1448",1914,0.894077046711061,0.0152,0.8491,0.5456,"FRA"
"1449",1915,0.890183820641994,0.0162,0.8434,0.54,"FRA"
"1450",1916,0.890684750788552,0.0157,0.843,0.5376,"FRA"
"1451",1917,0.890903214996541,0.0153,0.8423,0.5349,"FRA"
"1452",1918,0.889396568475235,0.0151,0.8384,0.5281,"FRA"
"1453",1919,0.887050661344091,0.0151,0.8334,0.5201,"FRA"
"1454",1920,0.881785587492601,0.0156,0.8229,0.5046,"FRA"
"1455",1921,0.878097280163132,0.0159,0.8157,0.494,"FRA"
"1456",1922,0.875112304474811,0.0161,0.8096,0.4846,"FRA"
"1457",1923,0.872830923809914,0.0162,0.8048,0.4773,"FRA"
"1458",1924,0.872410810101627,0.016,0.8034,0.4743,"FRA"
"1459",1925,0.853740804695263,0.0245,0.7868,0.447,"FRA"
"1460",1926,0.852741137152492,0.0259,0.7871,0.4536,"FRA"
"1461",1927,0.860459238761933,0.0237,0.798,0.4774,"FRA"
"1462",1929,0.865713808230424,0.0215,0.8027,0.4908,"FRA"
"1463",1930,0.866789996363082,0.0197,0.8023,0.4961,"FRA"
"1464",1931,0.858556778725614,0.0204,0.7876,0.4633,"FRA"
"1465",1932,0.853214243357598,0.0209,0.7796,0.4479,"FRA"
"1466",1933,0.853343592025936,0.022,0.7812,0.446,"FRA"
"1467",1935,0.846080530694223,0.024,0.7722,0.4375,"FRA"
"1468",1936,0.843499676328605,0.0239,0.7668,0.4326,"FRA"
"1469",1937,0.841664117011248,0.0237,0.7638,0.4264,"FRA"
"1470",1938,0.830396314244098,0.0303,0.7473,0.3969,"FRA"
"1471",1939,0.837101270016063,0.0285,0.7557,0.3999,"FRA"
"1472",1940,0.817049152946652,0.0379,0.7241,0.3478,"FRA"
"1473",1941,0.825044999889549,0.0277,0.7324,0.3484,"FRA"
"1474",1942,0.831569305112978,0.0246,0.7434,0.3625,"FRA"
"1475",1943,0.841843808162537,0.0263,0.7639,0.3805,"FRA"
"1476",1944,0.838853165878817,0.0273,0.7584,0.3784,"FRA"
"1477",1945,0.826666255298989,0.0287,0.7375,0.3517,"FRA"
"1478",1946,0.812426537457078,0.0259,0.6975,0.307,"FRA"
"1479",1947,0.803426201808939,0.0283,0.6882,0.3024,"FRA"
"1480",1948,0.808219083044115,0.0283,0.6991,0.3056,"FRA"
"1481",1949,0.813345519078617,0.0318,0.7152,0.3326,"FRA"
"1482",1950,0.816858383646675,0.0306,0.7224,0.3338,"FRA"
"1483",1951,0.798910062810023,0.0309,0.6998,0.3273,"FRA"
"1484",1952,0.816066810772242,0.0318,0.7233,0.3206,"FRA"
"1485",1953,0.819867372702568,0.0302,0.7284,0.319,"FRA"
"1486",1954,0.806614466826161,0.034,0.7086,0.3043,"FRA"
"1487",1955,0.797334019863378,0.0351,0.7057,0.3108,"FRA"
"1488",1956,0.797848625868156,0.0365,0.6995,0.3133,"FRA"
"1489",1957,0.801329760368901,0.0365,0.7062,0.3324,"FRA"
"1490",1958,0.792377588128929,0.0382,0.6917,0.3112,"FRA"
"1491",1959,0.799946532025288,0.0374,0.7072,0.3256,"FRA"
"1492",1960,0.79923809660697,0.0393,0.711,0.3144,"FRA"
"1493",1962,0.798029216649113,0.0382,0.706,0.3201,"FRA"
"1494",1964,0.810546427434382,0.0388,0.7289,0.3255,"FRA"
"1495",1965,0.799041803948185,0.0439,0.7158,0.3186,"FRA"
"1496",1966,0.781993492865247,0.0506,0.6943,0.3049,"FRA"
"1497",1967,0.764375198210672,0.0579,0.6729,0.292,"FRA"
"1498",1968,0.728908093218124,0.0707,0.6246,0.2571,"FRA"
"1499",1969,0.699607893333031,0.0822,0.5876,0.2333,"FRA"
"1500",1970,0.702207252353361,0.0646,0.5816,0.2032,"FRA"
"1501",1971,0.694822823977326,0.0677,0.573,0.1984,"FRA"
"1502",1972,0.692226451632642,0.0693,0.571,0.1978,"FRA"
"1503",1973,0.690256935016507,0.07,0.5687,0.1978,"FRA"
"1504",1974,0.683489816408823,0.0706,0.5574,0.1913,"FRA"
"1505",1975,0.678105497325607,0.0715,0.5493,0.1868,"FRA"
"1506",1976,0.671712010368466,0.0744,0.5413,0.183,"FRA"
"1507",1977,0.664560389874161,0.0775,0.5324,0.1787,"FRA"
"1508",1978,0.659611633897185,0.0785,0.5247,0.176,"FRA"
"1509",1979,0.656398076733844,0.0788,0.519,0.1741,"FRA"
"1510",1980,0.655631982991345,0.0783,0.5164,0.1721,"FRA"
"1511",1981,0.650751437304216,0.0798,0.5091,0.1667,"FRA"
"1512",1982,0.64511411378238,0.0825,0.5025,0.1618,"FRA"
"1513",1983,0.642716084671015,0.0841,0.5001,0.1593,"FRA"
"1514",1984,0.641913409298517,0.0848,0.4997,0.1579,"FRA"
"1515",1985,0.641090792551132,0.0869,0.5014,0.1614,"FRA"
"1516",1986,0.642458493643836,0.0879,0.5057,0.1679,"FRA"
"1517",1987,0.640393749043682,0.0899,0.505,0.1706,"FRA"
"1518",1988,0.638923019474845,0.0915,0.5048,0.1736,"FRA"
"1519",1989,0.644812712292754,0.087,0.5076,0.1766,"FRA"
"1520",1990,0.645081878299393,0.0844,0.5027,0.1718,"FRA"
"1521",1991,0.648667026970529,0.0822,0.5065,0.181,"FRA"
"1522",1992,0.659666015149476,0.0735,0.51,0.1749,"FRA"
"1523",1993,0.661591473143126,0.0739,0.5121,0.1878,"FRA"
"1524",1994,0.661919788074002,0.0729,0.512,0.1932,"FRA"
"1525",1995,0.684438810838394,0.0636,0.5334,0.2,"FRA"
"1526",1996,0.7034095058277,0.0597,0.5634,0.2372,"FRA"
"1527",1997,0.712730129098745,0.058,0.5775,0.2583,"FRA"
"1528",1998,0.721718358642249,0.0557,0.5916,0.2745,"FRA"
"1529",1999,0.723534493562738,0.0557,0.5954,0.2842,"FRA"
"1530",2000,0.72639504530747,0.0541,0.5981,0.286,"FRA"
"1531",2001,0.721099932485842,0.0552,0.5908,0.2749,"FRA"
"1532",2002,0.711861721944004,0.0571,0.577,0.2592,"FRA"
"1533",2003,0.708416261281869,0.0567,0.5701,0.2515,"FRA"
"1534",2004,0.704235192805129,0.0569,0.5628,0.244,"FRA"
"1535",2005,0.699192295089354,0.057,0.554,0.2304,"FRA"
"1536",2006,0.702654750833034,0.0546,0.557,0.2262,"FRA"
"1537",2007,0.70744947352015,0.0524,0.5621,0.228,"FRA"
"1538",2008,0.704498198234525,0.0529,0.5568,0.2206,"FRA"
"1539",2009,0.710549554985739,0.05,0.5632,0.2218,"FRA"
"1540",2010,0.725336740758522,0.0441,0.5802,0.2406,"FRA"
"1541",2011,0.718393828784414,0.0471,0.5725,0.235,"FRA"
"1542",2012,0.712945282451663,0.0499,0.5672,0.2291,"FRA"
"1543",2013,0.718707015176058,0.0477,0.573,0.2354,"FRA"
"1544",2014,0.721293499570251,0.0471,0.5771,0.2402,"FRA"
"1545",2015,0.721216396573929,0.0471,0.577,0.2401,"FRA"
"1546",2016,0.721000559379881,0.0472,0.5766,0.2397,"FRA"
"1547",2017,0.72067735168747,0.0472,0.5761,0.2392,"FRA"
"1548",2018,0.720841797669841,0.0472,0.5764,0.2395,"FRA"
"1549",2019,0.721146535818541,0.0472,0.5769,0.24,"FRA"
"1550",2020,0.721153517741115,0.0472,0.5769,0.24,"FRA"
"1551",2021,0.7211605014339,0.0472,0.5769,0.24,"FRA"
"1552",2022,0.721167485179699,0.0472,0.5769,0.24,"FRA"
"1553",1995,0.786530048032688,0.0318,0.6553,0.3233,"GAB"
"1554",1996,0.786551191564655,0.0318,0.6554,0.3233,"GAB"
"1555",1997,0.786627808411623,0.0318,0.6555,0.3235,"GAB"
"1556",1998,0.786627808411623,0.0318,0.6555,0.3235,"GAB"
"1557",1999,0.786648833027158,0.0318,0.6556,0.3235,"GAB"
"1558",2000,0.786775760652546,0.0317,0.6557,0.3235,"GAB"
"1559",2001,0.78684392300832,0.0317,0.6558,0.3237,"GAB"
"1560",2002,0.786907982282884,0.0317,0.656,0.3238,"GAB"
"1561",2003,0.787037509551908,0.0316,0.6561,0.324,"GAB"
"1562",2004,0.787037509551908,0.0316,0.6561,0.324,"GAB"
"1563",2005,0.787037509551908,0.0316,0.6561,0.324,"GAB"
"1564",2006,0.779361354351209,0.0338,0.6457,0.313,"GAB"
"1565",2007,0.772633145537583,0.0362,0.6374,0.3038,"GAB"
"1566",2008,0.762324881012745,0.0387,0.6229,0.2877,"GAB"
"1567",2009,0.755948485333192,0.04,0.6131,0.2771,"GAB"
"1568",2010,0.751684247059274,0.0411,0.6069,0.2703,"GAB"
"1569",2011,0.748979917911839,0.0421,0.6035,0.2665,"GAB"
"1570",2012,0.746925711570469,0.0424,0.6002,0.2631,"GAB"
"1571",2013,0.744460156858651,0.043,0.5966,0.2594,"GAB"
"1572",2014,0.742852013153538,0.0433,0.5939,0.2564,"GAB"
"1573",2015,0.740669480486829,0.0436,0.5902,0.2524,"GAB"
"1574",2016,0.739616739141482,0.0439,0.5887,0.2506,"GAB"
"1575",2017,0.738666769530582,0.0441,0.587,0.249,"GAB"
"1576",2018,0.738666769530582,0.0441,0.587,0.249,"GAB"
"1577",2019,0.738583793708031,0.0441,0.5869,0.2489,"GAB"
"1578",2020,0.738583793708031,0.0441,0.5869,0.2489,"GAB"
"1579",2021,0.738609925953043,0.0441,0.587,0.249,"GAB"
"1580",2022,0.739170203925681,0.0437,0.5872,0.2491,"GAB"
"1581",1995,0.690380673413589,0.0626,0.5249,0.1845,"GBR"
"1582",1996,0.710408216406428,0.0506,0.5398,0.1887,"GBR"
"1583",1997,0.730832514014047,0.0428,0.5651,0.2072,"GBR"
"1584",1998,0.72977309865211,0.0444,0.5669,0.212,"GBR"
"1585",1999,0.713860931172071,0.0512,0.5487,0.2044,"GBR"
"1586",2000,0.718968073387948,0.0498,0.5576,0.2033,"GBR"
"1587",2001,0.71479188181948,0.0515,0.5511,0.2043,"GBR"
"1588",2002,0.717383866768984,0.0502,0.5545,0.1998,"GBR"
"1589",2003,0.709284300119279,0.0532,0.5451,0.1878,"GBR"
"1590",2004,0.703111755842386,0.0573,0.5408,0.194,"GBR"
"1591",2005,0.704128787246823,0.0571,0.5415,0.2023,"GBR"
"1592",2006,0.706866917118816,0.056,0.545,0.2061,"GBR"
"1593",2007,0.702269600375701,0.0601,0.5446,0.2069,"GBR"
"1594",2008,0.695955193500609,0.0631,0.5381,0.2023,"GBR"
"1595",2009,0.715100875765572,0.0482,0.5438,0.2003,"GBR"
"1596",2010,0.713631706717379,0.0495,0.5459,0.1999,"GBR"
"1597",2011,0.726410892020425,0.0422,0.558,0.2018,"GBR"
"1598",2012,0.723206470963603,0.0447,0.5567,0.2071,"GBR"
"1599",2013,0.731029502881796,0.0427,0.5674,0.2257,"GBR"
"1600",2014,0.738802981982914,0.0392,0.5781,0.2259,"GBR"
"1601",2015,0.725938237000975,0.0453,0.5665,0.2146,"GBR"
"1602",2016,0.729419312962136,0.0439,0.5711,0.2123,"GBR"
"1603",2017,0.732724029583963,0.0428,0.5749,0.2112,"GBR"
"1604",2018,0.727507473029206,0.0465,0.5707,0.212,"GBR"
"1605",2019,0.726584638924535,0.0467,0.5692,0.2101,"GBR"
"1606",2020,0.726008125047301,0.0468,0.5683,0.2084,"GBR"
"1607",2021,0.726983320158794,0.0466,0.5698,0.2112,"GBR"
"1608",2022,0.726834833910829,0.0466,0.5696,0.2108,"GBR"
"1609",1995,0.721116277181096,0.0474,0.5581,0.2212,"GEO"
"1610",1996,0.721386879511471,0.0474,0.5585,0.2217,"GEO"
"1611",1997,0.72151344584617,0.0473,0.5587,0.2218,"GEO"
"1612",1998,0.721669092397846,0.0473,0.5591,0.2221,"GEO"
"1613",1999,0.721743228389656,0.0474,0.5596,0.2225,"GEO"
"1614",2000,0.721999222476612,0.0473,0.5599,0.2229,"GEO"
"1615",2001,0.722642367781759,0.0472,0.5612,0.224,"GEO"
"1616",2002,0.723100323324346,0.0472,0.5618,0.2246,"GEO"
"1617",2003,0.723270850469547,0.0472,0.5621,0.2249,"GEO"
"1618",2004,0.724092475491958,0.047,0.5633,0.226,"GEO"
"1619",2005,0.724633019892352,0.047,0.5649,0.2274,"GEO"
"1620",2006,0.724865056207605,0.0468,0.5647,0.2271,"GEO"
"1621",2007,0.725269723725404,0.0467,0.5655,0.2278,"GEO"
"1622",2008,0.725325716235574,0.0467,0.5656,0.2278,"GEO"
"1623",2009,0.724428050999535,0.047,0.5641,0.2265,"GEO"
"1624",2010,0.72418246351296,0.0471,0.5637,0.2263,"GEO"
"1625",2011,0.724539750947855,0.0469,0.5642,0.2266,"GEO"
"1626",2012,0.768651568640962,0.0395,0.6344,0.3507,"GEO"
"1627",2013,0.768296084776239,0.0395,0.6338,0.3495,"GEO"
"1628",2014,0.768238229772123,0.0396,0.6338,0.3485,"GEO"
"1629",2015,0.767730099125401,0.0397,0.6329,0.3476,"GEO"
"1630",2016,0.766864651439278,0.0398,0.6315,0.3459,"GEO"
"1631",2017,0.766418681680079,0.0399,0.6308,0.3443,"GEO"
"1632",2018,0.766297799358881,0.0398,0.6306,0.343,"GEO"
"1633",2019,0.765536647034992,0.04,0.6294,0.341,"GEO"
"1634",2020,0.765119634429084,0.04,0.6287,0.3398,"GEO"
"1635",2021,0.763972367535644,0.0403,0.627,0.3365,"GEO"
"1636",2022,0.763307868407992,0.0401,0.6254,0.3335,"GEO"
"1637",1995,0.753414112734646,0.0407,0.6093,0.2729,"GHA"
"1638",1996,0.754404711855756,0.0405,0.611,0.2747,"GHA"
"1639",1997,0.755876494372757,0.04,0.6129,0.2768,"GHA"
"1640",1998,0.756514803707603,0.04,0.6144,0.2786,"GHA"
"1641",1999,0.758783581197065,0.0397,0.6181,0.2826,"GHA"
"1642",2000,0.761063262282221,0.0393,0.6215,0.2865,"GHA"
"1643",2001,0.765456292325382,0.0378,0.627,0.2924,"GHA"
"1644",2002,0.768230076707511,0.037,0.631,0.2967,"GHA"
"1645",2003,0.771074063998157,0.0365,0.6352,0.3015,"GHA"
"1646",2004,0.774383819601212,0.0352,0.6394,0.3059,"GHA"
"1647",2005,0.776665209869861,0.0344,0.6424,0.3091,"GHA"
"1648",2006,0.774361383327346,0.0352,0.6393,0.3058,"GHA"
"1649",2007,0.770418297816434,0.0367,0.6345,0.3007,"GHA"
"1650",2008,0.767033591862656,0.0373,0.6293,0.2949,"GHA"
"1651",2009,0.765283486733892,0.0378,0.6268,0.2921,"GHA"
"1652",2010,0.760507764312734,0.0393,0.6205,0.2854,"GHA"
"1653",2011,0.758735784438954,0.0397,0.618,0.2825,"GHA"
"1654",2012,0.756427036608329,0.0399,0.6141,0.2782,"GHA"
"1655",2013,0.758205265721386,0.0398,0.6172,0.2817,"GHA"
"1656",2014,0.759088785386382,0.0395,0.6184,0.283,"GHA"
"1657",2015,0.760071632843648,0.0394,0.6199,0.2849,"GHA"
"1658",2016,0.762009685309266,0.0388,0.6225,0.2874,"GHA"
"1659",2017,0.762009685309266,0.0388,0.6225,0.2874,"GHA"
"1660",2018,0.761777765908874,0.039,0.6223,0.2872,"GHA"
"1661",2019,0.761777765908874,0.039,0.6223,0.2872,"GHA"
"1662",2020,0.761777765908874,0.039,0.6223,0.2872,"GHA"
"1663",2021,0.761880734851303,0.0389,0.6224,0.2873,"GHA"
"1664",2022,0.762572601441747,0.0384,0.6228,0.2875,"GHA"
"1665",1995,0.864847019850828,0.0061,0.7496,0.4211,"GMB"
"1666",1996,0.862924266320135,0.0068,0.7477,0.4196,"GMB"
"1667",1997,0.860876414464627,0.0076,0.7453,0.4172,"GMB"
"1668",1998,0.859346401659053,0.0082,0.7435,0.4151,"GMB"
"1669",1999,0.857989696568978,0.0087,0.7422,0.414,"GMB"
"1670",2000,0.856951556941482,0.0091,0.741,0.4129,"GMB"
"1671",2001,0.855849929498987,0.0094,0.7396,0.4116,"GMB"
"1672",2002,0.855256178961525,0.0096,0.739,0.411,"GMB"
"1673",2003,0.854576821603615,0.0098,0.7381,0.41,"GMB"
"1674",2004,0.852203627890759,0.0107,0.7356,0.4072,"GMB"
"1675",2005,0.849943215780939,0.0115,0.7331,0.4046,"GMB"
"1676",2006,0.846349069955693,0.0127,0.7289,0.4006,"GMB"
"1677",2007,0.844526587544664,0.0133,0.7264,0.3978,"GMB"
"1678",2008,0.840736510847648,0.0143,0.7218,0.3932,"GMB"
"1679",2009,0.837434935937694,0.0155,0.7177,0.389,"GMB"
"1680",2010,0.835998320708001,0.0161,0.7161,0.3873,"GMB"
"1681",2011,0.806818059729778,0.0254,0.6809,0.3504,"GMB"
"1682",2012,0.782421756296031,0.033,0.6499,0.3176,"GMB"
"1683",2013,0.762455068322652,0.0387,0.6231,0.2882,"GMB"
"1684",2014,0.750629383980311,0.0414,0.6055,0.2688,"GMB"
"1685",2015,0.74479568812373,0.043,0.5972,0.2598,"GMB"
"1686",2016,0.744811158839582,0.043,0.5973,0.2598,"GMB"
"1687",2017,0.744836567564079,0.043,0.5973,0.2599,"GMB"
"1688",2018,0.74479568812373,0.043,0.5972,0.2598,"GMB"
"1689",2019,0.744848044428579,0.043,0.5974,0.2599,"GMB"
"1690",2020,0.744865523087128,0.043,0.5974,0.26,"GMB"
"1691",2021,0.744890735062143,0.043,0.5975,0.26,"GMB"
"1692",2022,0.745455758705646,0.0426,0.5977,0.2602,"GMB"
"1693",1995,0.772224715407333,0.0362,0.6369,0.3034,"GIN"
"1694",1996,0.776827119710759,0.0344,0.6426,0.3094,"GIN"
